,song_index,topic,name,artist,lyrics,res_API,status_API,name_API
326,326,Goodbye songs,I'll Say Good-Bye for the Two of Us,Exposé,"When you wake up
And find me gone tomorrow
Don’t think I meant to hurt you
I just did what we knew I had to
And all the time we knew
The time was never right for us
Time to leave this love behind
I could never leave you -- Baby
If I saw you cry

CHORUS
I’ll say good-bye for the two of us
Tonight while you sleep
I’ll kiss you softly one last time
And say good-bye
Like I know we must
There’s just no other way
And I couldn’t bear to see your heart break
So I´ll wait till your asleep to say good-bye

Please realize
How hard it is to do this
I’m trying to make it through this
Say good-bye just as gently as I can
Please try and understand
This time just wasn’t the time for us
We knew I couldn’t stay
But that don’t make it easier to leave you
So while I can find the strength

I’ll say good-bye for the two of us
Tonight while you sleep
I’ll kiss you softly one last time
And say good-bye
Before your arms embrace me
Before your kisses take me
Before your eyes can make me stay

I’ll say good-bye for the two of us
Tonight while you sleep
I’ll kiss you softly one last time
And say good-bye
Like I know we must
I´ll wait till your asleep

To say good-bye for the two of us
Tonight while you sleep
I´ll kiss you softly one last time
And say good-bye
Like I know we must
There’s just no other way
And I couldn’t bear to see your heart break
So I´ll wait till your asleep to say good-bye

When you wake up
And find me gone tomorrow
Don’t think I meant to hurt you

Good bye...

by Ale Parente 09/2008",aprox,200,I’ll Say Good-bye For The Two Of Us
387,387,New Year songs,Millennium Prayer,Cliff Richard,"Our Father who art in heaven 
Hallowed be thy name 
Thy Kingdom come, Thy will be done 
On earth as in heaven 
Give us today our daily bread 
And forgive our sins 
As we forgive each one of those 
Who sins against us 
And lead us not to the time of trial 
But deliver us from evil 
For Thine is the kingdom 
The power and the glory 
Our Father who art in heaven 
Hallowed be thy name 
Thy Kingdom come, Thy will be done 
On earth as in heaven 
Give us today our daily bread 
And forgive our sins 
As we forgive each one of those 
Who sins against us 
And lead us not to the time of trial 
But deliver us from evil 
For Thine is the kingdom 
The power and the glory 
Let all the people say Amen 
In every tribe and tongue 
Let every heart's desire be joined 
To see the kingdom come 
Let every hope and every dream 
Be born in love again 
Let all the world sing with one voice 
Let the people say Amen 

Let all the people say Amen 
In every tribe and tongue 
Let every heart's desire be joined 
To see the kingdom come 
Let every hope and every dream 
Be born in love again 
Let all the world sing with one voice 
Let the people say Amen

Amen x 12",aprox,200,Millenium Prayer
397,397,New Year songs,What Are You Doing New Year's Eve?,The Orioles,"Maybe it's much too early in the game
Aah, but I thought I'd ask you just the same
What are you doing New Year's
New Year's eve?

Wonder whose arms will hold you good and tight
When it's exactly twelve o'clock that night
Welcoming in the New Year
New Year's eve

Maybe I'm crazy to suppose
I'd ever be the one you chose
Out of a thousand invitations
You received

Aah, but in case I stand one little chance
Here comes the jackpot question in advance
What are you doing New Year's
New Year's Eve?",aprox,200,What Are You Doing New Year's Eve
418,418,End-of-the-world songs,Silent Running (On Dangerous Ground),Mike + the Mechanics,"Take the children and yourself and hide out in the cellar.
By now the fighting will be close at hand.
Don't believe the church and state and everything they tell you.
Believe in me, I'm with the high command.

Can you hear me?
Can you hear me running?
Can you hear me running,
can you hear me calling you?
Can you hear me?
Can you hear me running?
Can you hear me running,
can you hear me calling you?

There's a gun and ammunition just inside the doorway.
Use it only in emergency.
Better you should pray to God, the father,
and the spirit will guide you and protect you from up here.

Can you hear me?
Can you hear me running?
Can you hear me running,
can you hear me calling you?
Can you hear me?
Can you hear me running?
Can you hear me running,
can you hear me calling you?

Swear allegiance to the flag.  Whatever flag they offer.
Never hint at what you really feel.
Teach the children quietly for someday sons and daughters,
will rise and fight while we stood still.

Can you hear me?
Can you hear me running?
Can you hear me running,
can you hear me calling you?
Can you hear me?
Can you hear me running?
Can you hear me running,
can you hear me calling you?

Can you hear me?
Can you hear me running?
Can you hear me running,
can you hear me calling you?

Can you hear me running?
(can you hear me calling you?)
(can you hear me)
Hear me calling you.
(Can you hear me running?)

Hear me running back
(Can you hear me running?)
Hear me running
Calling you, calling you.",aprox,200,Silent Running
438,438,Songs about a date,Rockaway (The Rockin' Chair Song),Kellie Pickler,"I've been sitting watching our love grow you know
It doesn't seem like it was long ago
When you carved our names in these old chairs of oak
Soakin' up Heaven countin' all the stars
Talkin' 'bout babies how the future ain't so far
I hope they have your brown eyes and forever loving heart

Don't stop rockin' with me baby
Without you it wouldn't be the same
Don't stop rockin' with me baby rockaway
Just rockaway

The lights like an ocean off of our front porch
Movin' like waves swayin' back and forth
Right now babe I swear I couldn't love you anymore
So

I whisper this rockin' chair prayer every night
If yours is ever empty let mine not be far behind",aprox,200,Rockaway
455,455,End-of-the-world songs,untitled 01 | 08.19.2014,Kendrick Lamar,"Come here, girl
Oh, you want me to touch you right there?
Oh, like a little lamb, play in your hair
Oh you want it? Oh you want it right now
Like that? I got you baby
All on you baby
Push it back on daddy
Push it back on daddy baby

I seen it vividly jogging my brain memory, life is
I seen it vividly jogging my brain memory
Life is long as infinity this was the final calling
No birds chirping or flying, no dogs barking
We all nervous and crying, moving in caution
In disbeliefs our believe's the reason for all this
The tallest building plummet, cracking and crumbling
The ground is shaking, swallowing young woman
With a baby, daisies
and other flowers burning in destruction
The smell is disgusting, the heat is unbearable
Preachers touching on boys run for cover, they paranoid
Rapists and murderers hurdle alleys
Valleys and high places turn into dust
Famous screaming in agony
Atheists for suicide, planes falling out the sky
Trains jumping off the track, mothers yelling ""he's alive""
Backpedaling christians settling for forgiveness
Evidence all around us the town is covered in fishes
Ocean water dried out, fire burning more tires out
Tabernacle and city capital turned inside out
Public bathroom, college classroom's been deserted
Another trumpet has sounded off and everyone heard it
(It's happening) no more running from world wars
(It's happening) no more discriminating the poor
(It's happening) no more bad bitches and real niggas
Wishing for green and gold the last taste of allure
I swore I seen it vividly
A moniker of war from heaven that play the symphony
Thunder like number four, then I heard
""What have you did for me""
I fell to my knees, pulled out my resume
That dated back to June 17th, 1987
My paperwork was like a receipt
I was valedictorian, I was fearful of judgment
But confident I had glory in all my past endeavors
Close my eyes pray to god that I live forever
Dark skies, fire and brimstone some of us sent home
Some of us never did wrong but still went to hell
Geez Louise I thought you said that I excel
I made To Pimp a Butterfly 'fore you told me
To use my vocals to save man-kind for you
Say I didn't try for you, say I didn't ride for you
I tied for you, I pushed the club to the side for you
Who love you like I love you?
Crucifix, tell me you can fix
Anytime I need, I'mma start jotting everything in my diary
Never would you lie to me
Always camaraderie, I can see, our days been numbered
Revelation greatest as we hearing the last trumpet
All man, child, woman, life completely went in reverse
I guess I'm running in place trying to make it to church

Young nigga act an ass
Young nigga act a fool
Young nigga get yo' cash
Young nigga do what it do
Young nigga go, young nigga go
Young nigga go, young nigga go
Whatever makes all of you happy in this bitch
Just take it all back before the light switch",aprox,200,untitled 01 | 08.19.2014.
458,458,End-of-the-world songs,Watch The World End,Trace Adkins,"I had a bad dream last night
The whole world was ending
Right before my eyes
There were fires and there were floods
And everyone was running out of time
Made me wonder what I'd do
If we really came to the end of the life

I don't think I'd spend my last hours at an altar
Or somewhere making toasts to good old days
The more I think about it
All I'd really wanna do
Is watch the world end with you

I'd lay down in a field by your side
And watch every star fallin out of the sky
And I'd steel a kiss from your sweet lips
One last time
And I wouldn't be afraid
As long as your hand was in mine

I don't think I'd spend my last hours at an altar
Or somewhere making toasts to good old days
The more I think about it
All I'd really wanna do
Is watch the world end with you

Colbie caillet
Watch it end
Watch it end with you

I don't think I'd spend my last hours at an altar
Or somewhere making toasts to good old days
The more I think about it
All I'd really wanna do
Is watch the world end with you

I'd watch the world end with you

With you

Watch it end (x7)
With you",aprox,200,Watch The World End (feat. Colbie Caillat)
542,542,Songs about a fresh start,New Love,Silk City,"Think I forgot to breathe
Did you forget my name?
I wrote your symphonies
They all just sound the same
Don't know what I believe in
'Cause I just kept moving on
Said I should take a seat
I know where I came from

I got new love, love in me
I got new love, love in me
I got new love, love in me
I got new love, I got new love in me

I got new love, I got new love in me
I got new lovе, I got new love in me
I got nеw love, I got new love in me
I got new love, I got new love in me

Didn't always like myself
Didn't always get it right
Thought I was someone else
And that's the girl you liked
Don't know what I believe in
'Cause I just kept moving on
Said I should take a seat
I know where I came from

I got new love, I got new love in me
I got new love, I got new love in me
I got new love, I got new love in me
I got new love

If you could see me now
I got a feeling you'd be dancing next to me
I'm on my own, but I could never be lonely
I got new love in me now
Got electricity in every bone like woah
Now I'm overthinking that I'm not who I should be
I got new love in me

I got new love, love in me
I got new love, love in me
I got new love, love in me
I got new love
If you could see me now

I got new love, I got new love in me
I got new love, I got new love in me
I got new love, I got new love in me
I got new love, I got new love in me now

Got electricity in every bone like woah
Now I'm overthinking that I'm not who I should be
I got new love in me (I got new love)
If you could see me now
I got new love, I got new love in me
I got new love",aprox,200,New Love (Feat. Ellie Goulding)
581,581,Songs about a grandparent,Descending,Big Boi,"If you don't me by now
If you don't me by now
If you don't me by now
If you don't me by now

Don't know
Don't know
Don't

When I'm in a bad feel yea
The pain when I'm...
Thinking 'bout it yea
I will not fall
Beat the times, thank God
Grandmother...
Great grandmamma, thank God
My daddy's gone

If you don't me by now
If you don't me by now
If you don't me by now
If you don't me by now

Don't know
Don't know
Don't

Hey
You in the stars
Your face
I still stand tall
I take up with ya'll hmm
The city I was born ? LA
Lights
La la la la
Lights turned low
Running along the runway
My body will lift up
You will not go straight
But I sure not was
If you don't me by now
If you don't me by now

Don't know
Don't
Don't

From the bottom of my chest to my stomach
Goddamn it, my daddy is gone
My daddy's gone

A fallen envy on my heart
Like the words that rock, I made some for you
And we'll send it through

If you don't me by now
If you don't me by now
If you don't me by now
If you don't me by now

Don't know
Don't
If you don't

If you don't me by now
If you don't me by now
If you don't me by now
If you don't me by now

You'll never

If ya'll don't love me by now, ya'll ain't gon never love me

Don't
Don't",aprox,200,Descending (Feat. Little Dragon)
586,586,Songs about a grandparent,Frank D Fixer,Jason Mraz,"Frank D. Fixer was a handyman
He could handle anything
He was my granddad
He grew his own food
And he could fix his own car
I watched it all happen
In our backyard

He'd re-invent the part to fix a broken home
He'd restore the heart

Well, I wish I was a fixer
I would fix you up inside
I would build you a town if the world fell down
I wish I was that guy

Well, if Frank D. Fixer were alive today
Well, he might laugh at me
Or he may have a lot to say
He might ask that I keep working for the family
To keep the bills all paid
And be his protégé

What happened to the ground right where we are?
What happened to the family farm?

Well, I wish I was a fixer
I would fix you up inside
I would build you a town if the world fell down
I wish I was that guy

Every evening breaking bread
He showed us who a real man is
No matter what my grandma said
He would never lose his head

Well, I wish I was a fixer
I would fix you up inside
I would build you a town if the world fell down
I wish I was that guy

Well, I wish I was a farmer
I would grow you a Garden of Eden
And I would bless our family with the gifts
My granddad handed me
How wonderful that would be
Maybe I'll make that guy be me",aprox,200,Frank D. Fixer
670,670,Songs about a grandparent,One Man Can Change the World,Big Sean,"[hook: big sean]
They used to tell me
I hope you learn to make it on your own
And if you love yourself just know you'll never be alone
I hope that you get everything you want and that you chose
I hope that it's the realest thing that you ever know
Hope you get the pretty girls, that's pretty and everything
Million dollar cribs havin' million dollar dreams
And when you get it all just remember one thing
Remember one thing
That one man could change the world
That one man could change the world

[verse 1: big sean]
All I, all I wanted was a hundred million dollars
And a bad chick
Imagine this so much some nights it felt like that I had it
Back on the mattress
Starin' at the ceilin' tryna to connect the dots
But its hard makin' those attachments
I'm talkin' dreamin' so hard, some nights it felt like draft day
You know?
My - my step brother used to flip them bags
Outside the crib like it was trash day
No kim k, but he bagged yay (ye)
But when you're getting fast money, slow down, don't crash
With all the drive in the world, swear you still need gas
Look, think about it, close your eyes, dream about it
Tell your team about it
Go make million dollar schemes about it
Success is on the way, I feel it in the distance
Used to look up at the stars
And be like ain't too much that's different
I be shinin', they be shinin'
Get your one shot don't you miss it
What you know bout' wakin' up everyday l
Ike you on a mission?

[hook: kanye west]
They used to tell me
I hope you learn to make it on your own
And if you love yourself just know you'll never be alone
I hope that you get everything you want and that you chose
I hope that it's the realest thing that you ever know
Hope you get the pretty girls, that's pretty and everything
Million dollar cribs havin' million dollar dreams
And when you get it all just remember one thing
Remember one thing
That one man could change the world
That one man could change the world

[verse 2: big sean]
My grandma told me if you write your name in stone
You'll never get the white out
I grinded out that black hole
Then performed up at the white house
Standin' next to jim carrey, we traded stories then laughed
I said you not the only one I know got rich wearin' masks
Where I'm from I swear they broke
They need way more than the cast
We need more than what you have
And then we need more than that
But how am I supposed to say I'm tired
If that girl from west virginia came up in conditions
That I couldn't survive
Went to war, came back alive
On top of that became a female black captain
When being black you had to extra extra try
Way before james brown made us proud
She bought a crib on the same street as marvin gaye
Right there on outer drive, and she taught me how to drive
And she raised the kids
Then the kids' kids, and she did it right
Taught me how to love, taught me not to cry
When I die, I hope you teach me how to fly
All my life you've been that angel in disguise saying

[hook: john legend]
They used to tell me
I hope you learn to make it on your own
And if you love yourself just know you'll never be alone
I hope that you get everything you want and that you chose
I hope that it's the realest thing that you ever know
Hope you get the pretty girls, that's pretty and everything
Million dollar cribs havin' million dollar dreams
And when you get it all just remember one thing
Remember one thing
That one man could change the world
That one man could change the world

[outro]
Grandma: thank you for callin' me, been thinkin' about me
Big sean: it's all good I love you grandma
Grandma: bye",aprox,200,One Man Can Change The World (Feat. Kanye West & John Legend)
701,701,Songs about a grandparent,Saturdays = Celebration,Big K.R.I.T.,"[Hook: Jamie N Commons]
If they kill me on Friday
Bury me on Sunday
Mourn for me Monday
Then you gotta let me go, go
Then they gotta let me go
If they kill me on Tuesday
Bury me on Wednesday
Mourn for me Thursday
Then you gotta let me go, go
Then they gotta let me go
Saturday's a celebration

[Verse 1: Big Krit]
Mama no need to worry 'bout me
I promise that I be home soon
God got me like every day
While the Devil like ""what you gon' do? ""
Temptation ain't motivation
This money could never make it better
Cadi cleaner than it'd ever been
But it blood all on my wooden lever
Ain't no tellin' if I'ma get it right
Look to God up-under city lights
Pray to God, he wanted me to ball
Cuh being broke ain't really living life
People dying like every day
If I leave, tell 'em care care for me
If I ain't fit to see the sun again
Somebody say a prayer for me

[Hook: Jamie N Commons]

[Verse 2: Big Krit]
In the event of my demise
I won't go kicking and screaming
I know that God had a reason
just don't give up believing
As long as the sun shines after the storm
So we don't cry at the dinner table
Rejoice and just be thankful
I made it, I'm home
sick of lyin', safe and sound
Battle with drinking
so please don't pour me no liquor
Out on the curb
fight the urge to go retaliate
Carry on, just be strong enough to walk away
Uh, speak the truth even if they crucify me
Uh, free my soul even if they chain my body
Uh, look to God if ain't nowhere to go
Beware those prophets
that touch a leg before they touch your soul
We reap what the sow when the boat man cometh
Gotta pay what we owe
Jesus walks so I run to him
How can they love me
when I'm knowin' what they done to him

[Hook: Jamie N Commons]",aprox,200,Saturdays = Celebration (Feat. Featuring Jamie n Commons)
719,719,Songs about a grandparent,The Charles C Leary,Devendra Banhart,"I lost the gloves that my mother gave to me
While on my ways to the make believe sea
And I lost the rings that my lover gave to me
While on my ways to the Red Salt Sea
Dadaladoo-rargh

And I lost my ways to my happy pen club
And ended up where I still can't say but
I lost my favorite pen on the way
And I lost my friend but that couldn't be
I lost the friend who sang with me
I lost my son but that couldn't be
I lost the son who sat on my knee
I lost my man but that couldn't be
I lost the one who I let inside me
And I lost my friend that my love and I shared
While on my ways to the make believe cares
Dadaladoo---rargh

And I lost the tunes that stuck to my ears
While on my ways to the make believe hears
And I saw Sapiena she sang to the sea
The only person left on the island was me
Dadaladoo---rargh

And I love the man who took care of me
He owns the ship the Charles C. Leary
Yes I love the man who took care of me",aprox,200,The Charles C. Leary
741,741,Songs about accidents,Dead Man's Curve,Jan & Dean,"Heart and soul, I fell in love with you
Heart and soul, the way a fool would do, madly
Because you held me tight
And stole a kiss in the night

Heart and soul, I begged to be adored
Lost control, and tumbled overboard, gladly
That magic night we kissed
There in the moon mist

Oh! but your lips were thrilling, much too thrilling
Never before were mine so strangely willing

But now I see, what one embrace can do
Look at me, it's got me loving you madly
That little kiss you stole
Held all my heart and soul",aprox,200,Dead Mans Curve
